,created_at_KST,masked_id,full_url,masked_text,media_media_url_https,urls_expanded_url,is_retweeted_by
91,2024-12-21 23:16:54+09:00,******,https://twitter.com/thinkerballer/status/1870473525112545548,대통령경호실앞에선 찍소리도 못하던 것들이 진짜 투명하다 투명해 권력의 개가 따로 없네,False,False,공놀이보리밥
90,2024-12-21 23:16:56+09:00,********,https://twitter.com/thinkerballer/status/1870473534407143907,여기 나온 경찰 인력들 2년 전 할로윈 때 이태원 안 가고 뭐했냐 시발,False,False,공놀이보리밥
318,2024-12-21 23:17:08+09:00,**********,https://twitter.com/symposion_/status/1870473583845360076,트랙터를 농민이 쓰지 누가 쓰는데,False,False,향연
946,2024-12-21 23:17:12+09:00,천고마비,https://twitter.com/mabi_relru/status/1870473599100047480,"그럼 나도 집에 가서 팥죽 먹고 메인 밀었을 거라고
오세훈을 매달아야",False,False,
89,2024-12-21 23:17:13+09:00,**************,https://twitter.com/thinkerballer/status/1870473604791738754,"남태령에 모아놓은 경찰 새끼들 저정도 병력이면 총기도 휴대 안하고 곤봉만 들고 윤석열 관저 들이쳐도 경호처 새끼들 패죽이고도 남겠구만 ㅋㅋㅋㅋㅋㅋㅋ

윤석열은 무섭고 시민들은 만만하다 이거지 ㅋㅋㅋㅋ 어휴 더러운…",False,False,공놀이보리밥
945,2024-12-21 23:17:42+09:00,*************,https://twitter.com/mabi_relru/status/1870473726497865933,"남태령역 3번 출구 앞(서울 관악구 남현동 산 93-5)에서 전봉준투쟁단의 트랙터가 서울진입이 막혔다는 소식을 들은 시민들이 농민들 가는 길 막지 말라며 시민들이 함께 외치고 있습니다!
이 시각 이곳에도 어김없이 '…",False,False,천고마비
1228,2024-12-21 23:17:56+09:00,************,https://twitter.com/cai_hua__/status/1870473783120953696,#괴담출근 https://t.co/6ZwYB4yS50,False,False,뀨왕
317,2024-12-21 23:18:07+09:00,*************,https://twitter.com/symposion_/status/1870473829212094563,"남태령역 3번 출구 앞(서울 관악구 남현동 산 93-5)에서 전봉준투쟁단의 트랙터가 서울진입이 막혔다는 소식을 들은 시민들이 농민들 가는 길 막지 말라며 시민들이 함께 외치고 있습니다!
이 시각 이곳에도 어김없이 '…",False,False,향연
88,2024-12-21 23:18:12+09:00,********,https://twitter.com/thinkerballer/status/1870473850938679348,"제가 집에 가려면 남태령을 지나야 하는데요-
광화문 집회 후 다음 주 있을 공연 준비하고 퇴근하려니- 사당 조금 지나 정말 모든 길을 막아놨네요.. 무슨 일인지 여쭤보니 “저 앞에 시위가 있어서 길을 막았다” 답변을 받았고요…",False,False,공놀이보리밥
944,2024-12-21 23:18:28+09:00,*******,https://twitter.com/mabi_relru/status/1870473918068502679,아직 안갓어요 실시간 이재정의원이 경찰차 앞에 있어요 ! 민변 변호사분도 오셧다고 https://t.co/M1iAm1sZgT,False,False,천고마비
316,2024-12-21 23:18:34+09:00,**************,https://twitter.com/symposion_/status/1870473945293685073,"남태령 현장에 나간 친구가 강제로 끌려갈 뻔 했습니다
33-2 기동대에서 나온 경찰이었습니다
해당 경찰에 대한 신고 및 항위 어떻게 해야 할 지 도와주세요",False,False,향연
674,2024-12-21 23:18:46+09:00,왕밤빵,https://twitter.com/abyss__calling/status/1870473992139850069,"혼자 연행되면 곤란한 사람들, 본무대 말고 뒤쪽에 있는 친구들 탐라에 계신다면 연락주세요 무서울 것 같아요 https://t.co/0PBaceoIj5",False,['https://x.com/abyss__calling/status/1870473186934202788'],
87,2024-12-21 23:19:01+09:00,************,https://twitter.com/thinkerballer/status/1870474055218077786,"전농 긴급호소 ＂시민 여러분, 남태령고개로 모여달라＂ (출처 : 오마이뉴스 | 네이버 뉴스) https://t.co/Z5CPzBMxRl",False,['https://naver.me/5mI0gfHr'],공놀이보리밥
673,2024-12-21 23:19:52+09:00,*******,https://twitter.com/abyss__calling/status/1870474271140843828,이소영의원도 경찰이랑 얘기하고 있어요 https://t.co/8lqU9eOEdN,False,False,왕밤빵
86,2024-12-21 23:19:54+09:00,***********,https://twitter.com/thinkerballer/status/1870474280259260573,아니 경찰새끼들 개어이없네 사람들을 왜 끌고 가냐고 물어봐도 입 꾹 다물고만 있어ㅋㅋ; 왜 이유를 설명을 안 해? 이유도 모르고 사람 잡아가는 거야? 아니면 밝힐수 없는 이유가 있기라도 해? 군부독재시대보다 더 하네;;,False,False,공놀이보리밥
85,2024-12-21 23:19:57+09:00,***********,https://twitter.com/thinkerballer/status/1870474290166141374,40분에 차 뺀다더니 50분에 추가 경찰을 투입해 ????????????????? 방배경찰서장 해명해,False,False,공놀이보리밥
315,2024-12-21 23:20:12+09:00,******,https://twitter.com/symposion_/status/1870474352501927954,"위협적인 트랙터를 가지고와서 교통을 혼잡시키고 이런것도 아니고 그저 농민들의 삶이 너무어려우니까 이걸 알리려고 오신건데.. 위대한 국민들이 함께해줘서 농민분들이 너무 고마우시다고..ㅜㅜ
좋은 먹거리를 생산해서 국민들에게 보답하시…",False,False,향연
672,2024-12-21 23:20:21+09:00,왕밤빵,https://twitter.com/abyss__calling/status/1870474394033967578,국회의원들이 온다니 다행이다 의원들을 믿기,False,False,
162,2024-12-21 23:21:04+09:00,향연,https://twitter.com/sceneryoftoday/status/1870474574250586232,경찰이 요청하면 국민신문고가 중단될 수 있는거임...?;;;?!?;;;,False,False,어제의풍경
84,2024-12-21 23:21:14+09:00,**************,https://twitter.com/thinkerballer/status/1870474612796203451,"남태령 현장에 나간 친구가 강제로 끌려갈 뻔 했습니다
33-2 기동대에서 나온 경찰이었습니다
해당 경찰에 대한 신고 및 항위 어떻게 해야 할 지 도와주세요",False,False,공놀이보리밥
83,2024-12-21 23:21:17+09:00,***************,https://twitter.com/thinkerballer/status/1870474625047761197,아니 그니까 이해가 안되는게 아침점심에 그냥 통과 시켰으면 광화문 오후 집회에 참여하고 해산했을 텐데 왜 이러냐고 대체 뭐 때문에 무엇을 위해 사람들을 이렇게 만들고 분노하게 하고 버티게 하냐고 그냥 말이 안 됨…,False,False,공놀이보리밥
943,2024-12-21 23:21:25+09:00,천고마비,https://twitter.com/mabi_relru/status/1870474659134902528,경찰 인력 존나 남아도는거같은데? 저새끼들 앞으로 업무가 많다 손이 모자라다 이딴 말 하면 밤 열시에 남태령 길바닥으로 책상 빼고 야근시켜라 자르던가,False,False,
82,2024-12-21 23:21:28+09:00,******,https://twitter.com/thinkerballer/status/1870474675274539208,"@아 ㅋㅋㅋㅋㅋ ㅠㅠ 지금 그 남태령 라이브 보는데 ㅠ ㅋㅋㅋㅋ 시민연설 ? 하는데 ㅠㅋㅋ 
- 경찰들 옛날부터 별명이 뭡니까! 
- 짭새! 
- 아니 민중의 지팡이 아닙니까! 
ㅠ ㅋㅋㅋㅋ

ㅋㅋㅋㅋ아저씨 극대노하다가 아, 아…",False,False,공놀이보리밥
671,2024-12-21 23:21:31+09:00,************,https://twitter.com/abyss__calling/status/1870474684619497821,"아 지금 진행자분 말씀 눈물나
""저희는 이곳에 계신 시민 분들께, 집에 돌아가시란 말도, 여기서 이 자리를 계속 지켜달라는 말도 못 드리겠습니다. 어떻게 해야할지 솔직히 모르겠습니다.""
ㅠㅠ",False,False,왕밤빵
